"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,8,0.1,0.75,40,0.75,250,136289506.915718,12083056.4196352
0.05,8,0.01,0.66,40,0.75,500,136311415.625154,12354396.806102
0.05,8,0,0.66,40,0.75,500,136335087.381079,11695966.3292473
0.05,8,0,0.75,20,0.66,250,136337436.87611,11977073.0132
0.05,8,0.1,0.66,20,0.66,500,136340224.213388,12448723.3444142
0.05,8,0.001,0.66,40,0.66,500,136353314.564634,12153787.6304534
0.05,8,0,0.66,20,0.66,500,136354307.23746,12377076.6918854
0.05,8,0.001,0.66,40,0.75,250,136360253.957692,11949592.0130629
0.05,8,0.01,0.75,20,0.66,500,136364961.929071,12035377.8995597
0.05,8,0.001,0.66,20,0.66,500,136365309.583884,12804537.4261556
0.05,8,0.001,0.75,40,0.66,250,136402344.606566,11950961.5108732
0.05,8,0.1,0.66,20,0.75,250,136402823.158671,11265070.9751758
0.05,8,0,0.75,40,0.75,500,136432165.79292,12071267.5084797
0.05,8,0.01,0.75,40,0.75,500,136504681.841671,12343859.1181952
0.05,8,0.001,0.66,20,0.75,500,136508141.973841,11866746.8582946
0.05,8,0.001,0.75,20,0.66,500,136547392.238473,12094075.1592859
0.05,8,0,0.75,40,0.66,500,136561764.014908,12213573.5330935
0.05,8,0.001,0.75,40,0.66,500,136600454.755934,11863396.4031335
0.05,8,0.01,0.66,40,0.75,250,136606517.351467,12902702.9010522
0.05,8,0,0.75,20,0.66,500,136619824.276269,11551641.9615756
0.05,8,0,0.66,20,0.75,250,136673166.085389,12958990.6640459
0.05,4,0.01,0.75,20,0.66,1000,136728132.195349,10976358.773818
0.05,8,0.001,0.66,20,0.66,1000,136740794.272475,11802285.3199488
0.05,8,0.1,0.75,40,0.75,500,136754251.924405,12138982.8394699
0.05,4,0.01,0.75,20,0.75,1000,136755170.181461,10571633.4913484
0.05,8,0.01,0.75,40,0.66,500,136768210.132672,11683117.1968338
0.05,8,0.1,0.66,40,0.66,250,136773547.502481,12296296.4064947
0.05,8,0,0.75,40,0.66,1000,136777915.363916,11051903.0724044
0.05,8,0.1,0.75,20,0.75,500,136809825.744258,12408938.0054929
0.05,8,0.1,0.75,40,0.66,1000,136864151.030875,11788368.8454241
0.05,4,0.1,0.66,20,0.75,1000,136864993.489332,11561124.881168
0.05,4,0,0.75,20,0.75,1000,136872489.41934,11162674.1130096
0.05,4,0.1,0.75,20,0.66,1000,136879370.465879,10607808.510908
0.05,8,0,0.75,40,0.75,1000,136880234.401585,11621023.5321491
0.05,8,0,0.66,40,0.66,500,136884408.433907,11724862.9467525
0.05,4,0,0.75,40,0.75,1000,136910696.101307,11127892.6450189
0.05,8,0.001,0.66,20,0.75,1000,137003407.380325,12117252.6495038
0.05,4,0.001,0.66,20,0.75,1000,137017480.861286,10780575.3299089
0.05,8,0,0.66,40,0.66,250,137025313.080488,12665325.4058878
0.05,8,0.1,0.66,40,0.66,500,137045354.470883,11795613.6397566
0.05,4,0.001,0.66,40,0.66,1000,137050878.521356,11466055.5301455
0.05,8,0.01,0.66,20,0.75,1000,137051487.423593,13165580.910746
0.05,4,0.1,0.75,20,0.75,1000,137064668.713993,10920987.4369515
0.05,8,0,0.66,20,0.75,1000,137087700.889533,12361390.5709065
0.05,4,0.01,0.75,40,0.75,1000,137147617.479104,11257918.0491687
0.05,8,0,0.66,40,0.66,1000,137149661.637161,11715613.0607924
0.05,8,0.01,0.75,20,0.75,1000,137225427.881922,11289440.050388
0.05,4,0.01,0.66,20,0.75,1000,137232814.63504,10802988.7225117
0.01,8,0.1,0.75,20,0.66,500,137234024.023159,11786983.4525054
0.05,4,0,0.66,20,0.66,1000,137240270.334616,11341018.0882604
0.05,8,0.01,0.66,20,0.66,1000,137276190.416673,11995012.0192257
0.05,4,0,0.66,20,0.75,1000,137280485.872617,11495388.3924884
0.05,4,0.001,0.66,20,0.66,1000,137297626.599707,11250801.1712775
