"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,8,0.1,0.75,40,0.75,500,107278147.995386,867797.767617421
0.05,8,0,0.75,20,0.75,250,107376875.933776,1054076.48074518
0.05,8,0.01,0.75,20,0.75,250,107491961.537417,853062.062270059
0.05,8,0.1,0.66,40,0.75,500,107513691.593497,965418.934346782
0.05,8,0,0.66,20,0.75,250,107537183.901879,887492.872762365
0.05,8,0.001,0.75,20,0.75,250,107552107.861301,692147.424542727
0.05,8,0.01,0.66,20,0.75,250,107555881.252582,704426.529870693
0.05,8,0.001,0.66,20,0.75,250,107600805.547334,860339.786299878
0.05,8,0,0.75,20,0.66,250,107956687.517555,744081.839675616
0.05,8,0.001,0.66,20,0.66,250,108011492.640561,693049.697966891
0.05,8,0.01,0.66,20,0.66,250,108116395.752829,1009966.69418505
0.05,8,0.001,0.75,20,0.66,250,108184666.671069,921324.847294307
0.05,8,0,0.66,20,0.66,250,108195328.793882,790992.794675003
0.05,8,0.01,0.75,20,0.66,250,108236719.510206,832083.14016447
0.05,8,0.1,0.66,20,0.75,250,108445260.432379,972327.043458513
0.05,8,0.1,0.75,20,0.66,250,108465687.664827,996920.124966465
0.05,8,0.1,0.75,20,0.75,250,108502583.812101,780050.41055656
0.05,8,0.1,0.66,20,0.66,250,108575383.383178,1128828.27694194
0.01,8,0.001,0.66,20,0.75,1000,108831533.356061,877279.523657851
0.01,8,0.01,0.66,20,0.75,1000,108916445.675426,946113.833499819
0.01,8,0.001,0.75,20,0.75,1000,108973791.966812,888952.930551387
0.01,8,0,0.66,20,0.75,1000,109013672.365638,869666.206081564
0.01,8,0,0.75,20,0.75,1000,109018185.679899,961186.2435308
0.01,8,0.01,0.75,20,0.75,1000,109067693.958461,869360.945009873
0.01,8,0.1,0.66,20,0.75,1000,109330059.763531,816312.24578051
0.01,8,0.1,0.75,20,0.75,1000,109354784.424718,972839.723019823
0.01,8,0.01,0.75,20,0.66,1000,109418266.721068,886054.871618873
0.01,8,0.001,0.66,20,0.66,1000,109467160.834598,702845.562422474
0.01,8,0,0.75,20,0.66,1000,109494478.574854,896236.248140231
0.01,8,0.001,0.75,20,0.66,1000,109497821.36883,874823.978611887
0.01,8,0,0.66,20,0.66,1000,109503891.786424,907316.788524903
0.01,8,0.01,0.66,20,0.66,1000,109554357.39499,948555.6384869
0.01,8,0.1,0.66,20,0.66,1000,109749527.380446,839776.141038726
0.05,8,0.01,0.66,40,0.75,250,109781507.939959,789778.068905395
0.01,8,0.1,0.75,20,0.66,1000,109796235.79205,875521.910164517
0.05,8,0.001,0.66,40,0.75,250,109804091.39002,869467.145827419
0.05,8,0,0.66,40,0.75,250,109822637.224029,862409.554772257
0.05,8,0,0.75,40,0.75,250,109847140.669422,1298355.3301976
0.05,8,0.1,0.75,40,0.75,250,110120733.696187,840953.41321477
0.05,8,0.001,0.75,40,0.75,250,110130216.695374,1037719.8966803
0.05,8,0.001,0.75,40,0.66,250,110189962.280774,1080492.14518983
0.05,8,0.01,0.75,40,0.75,250,110261023.333198,842073.970251995
0.05,8,0.1,0.66,40,0.75,250,110262888.078162,775079.551016372
0.05,8,0,0.66,40,0.66,250,110272596.4925,798540.200198761
0.05,8,0.01,0.75,40,0.66,250,110304159.987779,967565.375014426
0.05,8,0.01,0.66,40,0.66,250,110539552.366662,637449.169178832
0.05,8,0.001,0.66,40,0.66,250,110572906.882896,1056659.16666156
0.05,8,0,0.75,40,0.66,250,110654636.245667,1028372.00792414
0.05,8,0.1,0.75,40,0.66,250,110681572.846114,944781.65582497
0.05,8,0.1,0.66,40,0.66,250,110775814.460912,1093894.46021882
0.01,8,0.01,0.66,40,0.75,1000,111156568.617438,931540.380312832
0.01,8,0.001,0.66,40,0.75,1000,111173899.23271,834316.737301779
0.01,8,0.01,0.75,40,0.75,1000,111187680.245062,990508.084612426
0.01,8,0,0.66,40,0.75,1000,111294173.030947,1009208.44795384
0.01,8,0.1,0.66,40,0.75,1000,111296086.573643,871832.852334752
0.01,8,0,0.75,40,0.75,1000,111349050.742886,985709.623660314
0.01,8,0.001,0.75,40,0.75,1000,111382984.11114,999101.59272565
0.01,8,0.1,0.75,40,0.75,1000,111389987.828327,844782.703182288
0.01,8,0.01,0.75,40,0.66,1000,111741451.455223,880454.810595987
0.01,8,0.001,0.66,40,0.66,1000,111753418.913162,873637.931991789
0.01,8,0,0.75,40,0.66,1000,111771412.453704,904181.267779213
0.01,8,0.01,0.66,40,0.66,1000,111858063.727678,906706.199143248
0.01,8,0,0.66,40,0.66,1000,111863200.375749,982123.585789428
0.01,8,0.1,0.75,40,0.66,1000,111867661.334933,896931.183574329
0.01,8,0.001,0.75,40,0.66,1000,111895209.767055,899272.517388183
0.01,8,0.1,0.66,40,0.66,1000,111936333.355176,831842.040858511
0.05,4,0.01,0.75,20,0.75,1000,115642537.919748,819756.04111536
0.05,4,0,0.75,20,0.75,1000,115735254.192216,1294899.06668408
